Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
"Aishiteru Banzai!, START:DASH!!","Oh,Love&Peace!, Snow halation","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","COLORFUL VOICE, LONELIEST BABY, LOVELESS WORLD, WILD STARS","Cutie Panther, Diamond Princess no Yuuutsu, PSYCHIC FIRE","Aki no Anata no Sora Tooku, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Love marginal, NO EXIT ORION, UNBALANCED LOVE","Anemone heart, Soldier game, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Daring!!, Koi no Signal Rin rin rin!, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Private Wars,Binetsu Kara Mystery,"Private Wars, START:DASH!!",Umi Sonoda (VA Suzuko Mimori),"Omoi yo Hitotsu ni Nare, Yume de Yozora o Terashitai","MY Mai?TONIGHT, Sora mo Kokoro mo Hareru kara",,"Mattete Ai no Uta, Thrilling?One Way, Todokanai Hoshi da to Shitemo","Kowareyasuki, Strawberry Trapper","INNOCENT BIRD, Tokimeki Bunruigaku","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?",,"Pianoforte Monologue, WHITE FIRST LOVE",SELF CONTROL!!,Yozora wa Nandemo Shitteru no?,SELF CONTROL!!,Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Diamond, Meccha Going!!",Ayumu Uehara (VA Aguri Onishi)
"Bokura wa Ima no Naka de, Susume?Tomorrow","Snow halation, Sore wa Bokutachi no Kiseki","Future style, SUNNY DAY SONG","HEART to HEART!, Music S.T.A.R.T!!, Mi wa µ'sic no Mi, Mogyutto ""love"" de Sekkin Chuu!, Shangri-La Shower, Super LOVE=Super LIVE!","Cutie Panther, Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shunjou Romantic","MUSEUM de Dou Shitai?, Pure girls project, WAO-WAO Powerful day!","Kokuhaku Biyori, desu!, Soldier game, Storm in Lover","Blueberry?Train, Daring!!, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,HEART to HEART!,"Bokura wa Ima no Naka de, Donna Toki mo Zutto, Mogyutto ""love"" de Sekkin Chuu!, Music S.T.A.R.T!!, Snow halation, SUNNY DAY SONG",Maki Nishikino (VA Pile),"Aozora Jumping Heart, Daisuki dattara Daijoubu!","Mirai no Bokura wa Shitteru yo, Yuuki wa doko ni? Kimi no Mune ni!","Brightest Melody, Hop? Stop? Nonstop!","HAPPY PARTY TRAIN, Hop?Step?Waai!, Jump up HIGH!!, Koi ni Naritai AQUARIUM, Thrilling?One Way","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Hajimari Road, Marine Border Parasol","Beginner's Sailing, RED GEM WINK",Believe again,Awaken the power,"Aozora Jumping Heart, Awaken the power, HAPPY PARTY TRAIN, Kimi no Kokoro wa Kagayaiteru kai?, MIRACLE WAVE, Mirai no Bokura wa Shitteru yo",Mari Ohara (VA Suzuki Aina),"Doki Pipo ? Emotion, TOKIMEKI Runners, Yume e no Ippo",Ayumu Uehara (VA Aguri Onishi)
"Korekara no Someday, START:DASH!!","Happy maker!, Love wing bell","Angelic Angel, Future style","Arashi no Naka no Koi dakara, Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, SENTIMENTAL StepS","Natsu, Owaranai de., Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","Futari Happiness, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION, WAO-WAO Powerful day!","Kokuhaku Biyori, desu!, Mermaid festa vol.2 ~Passionate~, Zurui yo Magnetic today","Ai wa Taiyou Ja Nai?, Blueberry?Train, Nawatobi, Senkou Resolution, Shiawase Iki no SMILING!, Spicaterrible",Shocking Party,NO EXIT ORION,"Angelic Angel, Hello, Hoshi o Kazoete, Love wing bell, ??HEARTBEAT",Honoka Kousaka (VA Emi Nitta),Aozora Jumping Heart,,,"HAPPY PARTY TRAIN, SKY JOURNEY, Thrilling?One Way","Kowareyasuki, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Kinmirai Happy End, P.S. no Mukougawa","G Senjou no Cinderella, Waku-Waku-Week!",,SELF CONTROL!!,P.S. no Mukougawa,,Ruby Kurosawa (VA Furihata Ai),,
"Bokura wa Ima no Naka de, START:DASH!!","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Datte Datte Aa Mujou, Korekara, MOMENT RING, Natsuiro Egao de 1,2,Jump!, WILD STARS, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","Love marginal, Pure girls project, Puwa Puwa-O!","Kokuhaku Biyori, desu!, Mermaid festa vol.2 ~Passionate~, Suki desu ga Suki desu ka?","Blueberry?Train, Koi no Signal Rin rin rin!, Nawatobi, Someday of my life, Watashitachi wa Mirai no Hana, Yume Naki Yume wa Yume ja nai",Shocking Party,Snow halation,Bokutachi wa Hitotsu no Hikari,Eli Ayase (VA Yoshino Nanjo),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, Yuuki wa doko ni? Kimi no Mune ni!","Kiseki Hikaru, Tousou Meisou Mobius Loop","HAPPY PARTY TRAIN, Hop?Step?Waai!, Jump up HIGH!!, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!","Guilty Night, Guilty Kiss!, Kowareyasuki","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Jimo Ai ? Mantan ? Summer Life, Waku-Waku-Week!","One More Sunshine Story, Sakana ka Nanda ka?",SELF CONTROL!!,Jump up HIGH!!,"Awaken the power, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, SELF CONTROL!!, WATER BLUE NEW WORLD",Mari Ohara (VA Suzuki Aina),"CHASE!, Meccha Going!!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, Susume?Tomorrow","Love wing bell, Snow halation","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Baby maybe Koi no Button, Music S.T.A.R.T!!, Natsuiro Egao de 1,2,Jump!, Paradise Live, Takaramonozu, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","Aki no Anata no Sora Tooku, Kimi no Kuse ni!, Shunjou Romantic","Eien Friends, Pure girls project, Sweet&sweet holiday","Mermaid festa vol.2 ~Passionate~, Soldier game, Storm in Lover","Blueberry?Train, Junai Lens, Koi no Signal Rin rin rin!, Kururin MIRACLE, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana",Shocking Party,Bokutachi wa Hitotsu no Hikari,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Love wing bell, Natsuiro Egao de 1,2,Jump!, Snow halation",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","Kimi no Kokoro wa Kagayaiteru kai?, Mirai no Bokura wa Shitteru yo","Brightest Melody, Over The Next Rainbow","HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Step! ZERO to ONE, Thrilling?One Way","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Natsu e no Tobira Never end ver.",Oyasuminasan!,Believe again,Mijuku DREAMER,"Aozora Jumping Heart, HAPPY PARTY TRAIN, Kimi no Kokoro wa Kagayaiteru kai?, Koi ni Naritai AQUARIUM, Mijuku DREAMER, Omoi yo Hitotsu ni Nare",Hanamaru Kunikida (Va Takatsuki Kanako),Doki Pipo ? Emotion,Rina Tennoji (VA Chiemi Tanaka)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
START:DASH!!,"KiRa-KiRa Sensation!, Snow halation","Angelic Angel, SUNNY DAY SONG",HEART to HEART!,"Love Novels, PSYCHIC FIRE","Aki no Anata no Sora Tooku, Kimi no Kuse ni!, Otohime Heart de Love Kyuuden","CheerDay CheerGirl!, Nightingale Love Song",Listen to my heart!!,"Yume Naki Yume wa Yume ja nai, Yuuki no Reason",Private Wars,START:DASH!!,"START:DASH!!, SUNNY DAY SONG",Maki Nishikino (VA Pile),MIRAI TICKET,"Awaken the power, WATER BLUE NEW WORLD","Next SPARKLING!!, Over The Next Rainbow","Aqours?HEROES, HAPPY PARTY TRAIN, Jump up HIGH!!, Step! ZERO to ONE, Thank you, FRIENDS!!",Strawberry Trapper,"GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End",Hajimari Road,WHITE FIRST LOVE,SELF CONTROL!!,Believe again,"Awaken the power, MIRACLE WAVE, MY Mai?TONIGHT, SELF CONTROL!!, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),CHASE!,
"Bokura wa Ima no Naka de, Susume?Tomorrow",Snow halation,"Angelic Angel, Hello, Hoshi o Kazoete","MOMENT RING, Natsuiro Egao de 1,2,Jump!, Shangri-La Shower, Wonderful Rush","Diamond Princess no Yuuutsu, Fuyu ga Kureta Yokan, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shunjou Romantic","Eien Friends, MUSEUM de Dou Shitai?, Sweet&sweet holiday","Garasu no Hanazono, Mermaid festa vol.2 ~Passionate~, Soldier game","Himitsu to Hanazono, Kodoku na Heaven, Kodoku no Kairou, Mou Hitori Ja Nai yo, Senkou Resolution, Someday of my life",Shocking Party,Otohime Heart de Love Kyuuden,"Angelic Angel, Hello, Hoshi o Kazoete, Natsuiro Egao de 1,2,Jump!, Susume?Tomorrow, Wonderful Rush, ??HEARTBEAT",Umi Sonoda (VA Suzuko Mimori),"Kimeta yo Hand in Hand, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, Yuuki wa doko ni? Kimi no Mune ni!","Brightest Melody, Tousou Meisou Mobius Loop","""MY LIST"" to you!, Daydream Warrior, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!, Thrilling?One Way","Guilty Night, Guilty Kiss!, Shadow gate to love","Sotsugyou desu ne, Torikoriko PLEASE!!","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Yosoku Fukanou Driving!","In this unstable world, New winding road",Believe again,Thrilling?One Way,"Awaken the power, Believe again, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, Tousou Meisou Mobius Loop",Mari Ohara (VA Suzuki Aina),Anata no Risou no Heroine,Karin Asaka (VA Miyu Kubota)
START:DASH!!,Snow halation,"Angelic Angel, SUNNY DAY SONG","LONELIEST BABY, Mermaid festa vol.1, Mogyutto ""love"" de Sekkin Chuu!",PSYCHIC FIRE,"A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love","Eien Friends, Pure girls project, Sweet&sweet holiday","Kokuhaku Biyori, desu!, Suki desu ga Suki desu ka?, Zurui yo Magnetic today","Blueberry?Train, Koi no Signal Rin rin rin!",,,,Umi Sonoda (VA Suzuko Mimori),"Aozora Jumping Heart, Mijuku DREAMER","Awaken the power, MY Mai?TONIGHT",Bokura no Hashittekita Michi wa…,"Sunshine Pikkapika Ondo, Thrilling?One Way","Guilty Eyes Fever, Guilty!? Farewell party",INNOCENT BIRD,,"G Senjou no Cinderella, Natsu e no Tobira Never end ver.","New winding road, Oyasuminasan!",SELF CONTROL!!,,MY Mai?TONIGHT,Hanamaru Kunikida (Va Takatsuki Kanako),Evergreen,Emma Verde (VA Maria Sashide)
Aishiteru Banzai!,Yume no Tobira,"Angelic Angel, SUNNY DAY SONG",HEART to HEART!,Saitei de Saikou no Paradiso,Shiranai Love*Oshiete Love,Pure girls project,Soldier game,"Kodoku na Heaven, Yuuki no Reason",,,"Angelic Angel, SUNNY DAY SONG",Umi Sonoda (VA Suzuko Mimori),,,,,,,,,,,,,,,
"Bokura wa Ima no Naka de, No brand girls",Snow halation,Bokutachi wa Hitotsu no Hikari,Super LOVE=Super LIVE!,Cutie Panther,,WAO-WAO Powerful day!,"Beat in Angel, Zurui yo Magnetic today","Niko puri?Joshi dou, Watashitachi wa Mirai no Hana",Shocking Party,,Snow halation,Kotori Minami (VA Aya Uchida),"Aozora Jumping Heart, MIRAI TICKET","MIRACLE WAVE, WATER BLUE NEW WORLD",,"Daydream Warrior, Koi ni Naritai AQUARIUM, Thrilling?One Way","Guilty Eyes Fever, Guilty Night, Guilty Kiss!","GALAXY HidE and SeeK, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,"G Senjou no Cinderella, Waku-Waku-Week!",Beginner's Sailing,Believe again,Koi ni Naritai AQUARIUM,"Awaken the power, Koi ni Naritai AQUARIUM, MIRAI TICKET, WATER BLUE NEW WORLD",You Watanabe (VA Saitou Shuka),Starlight,
Kitto Seishun ga Kikoeru,"Dancing stars on me!, Snow halation","Hello, Hoshi o Kazoete","MOMENT RING, Wonderful Rush",Fuyu ga Kureta Yokan,"A-NO-NE-GA-N-BA-RE!, Shunjou Romantic","Nightingale Love Song, Pure girls project","Mermaid festa vol.2 ~Passionate~, Suki desu ga Suki desu ka?, Zurui yo Magnetic today","Himitsu to Hanazono, Nawatobi",Shocking Party,"Hello, Hoshi o Kazoete","Angelic Angel, Snow halation, Yume no Tobira, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),Omoi yo Hitotsu ni Nare,Awaken the power,,"Thank you, FRIENDS!!","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, Sotsugyou desu ne",Kinmirai Happy End,Hajimari Road,One More Sunshine Story,SELF CONTROL!!,"Thank you, FRIENDS!!","Awaken the power, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"Evergreen, Meccha Going!!",Rina Tennoji (VA Chiemi Tanaka)
"Aishiteru Banzai!, START:DASH!!",Snow halation,"Angelic Angel, ??HEARTBEAT",HEART to HEART!,"Diamond Princess no Yuuutsu, Love Novels",Shiranai Love*Oshiete Love,NO EXIT ORION,"After school NAVIGATORS, Garasu no Hanazono, Zurui yo Magnetic today","Daring!!, Junai Lens, Kodoku na Heaven, Nawatobi, Niko puri?Joshi dou, Someday of my life",Private Wars,Angelic Angel,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Snow halation, SUNNY DAY SONG, ??HEARTBEAT",Honoka Kousaka (VA Emi Nitta),Omoi yo Hitotsu ni Nare,"WATER BLUE NEW WORLD, WONDERFUL STORIES","Hop? Stop? Nonstop!, Over The Next Rainbow","Landing action Yeah!!, Thank you, FRIENDS!!","Guilty Night, Guilty Kiss!, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?",Waku-Waku-Week!,"One More Sunshine Story, WHITE FIRST LOVE",Believe again,Omoi yo Hitotsu ni Nare,"Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, WONDERFUL STORIES",Riko Sakurauchi (VA Aida Rikako),Evergreen,Ayumu Uehara (VA Aguri Onishi)
"Kitto Seishun ga Kikoeru, No brand girls","Happy maker!, Snow halation","SUNNY DAY SONG, ??HEARTBEAT","Kaguya no Shiro de Odoritai, Takaramonozu","Cutie Panther, Fuyu ga Kureta Yokan, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","CheerDay CheerGirl!, NO EXIT ORION, WAO-WAO Powerful day!","Beat in Angel, Garasu no Hanazono, Soldier game","Arifureta Kanashimi no Hate, Daring!!, Koi no Signal Rin rin rin!, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,SUNNY DAY SONG,"Angelic Angel, No brand girls, Shocking Party, Snow halation, START:DASH!!, SUNNY DAY SONG",Maki Nishikino (VA Pile),"Aozora Jumping Heart, Omoi yo Hitotsu ni Nare","MIRACLE WAVE, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Thrilling?One Way","Kowareyasuki, Shadow gate to love","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Jimo Ai ? Mantan ? Summer Life, Waku-Waku-Week!","In this unstable world, Sakana ka Nanda ka?",Believe again,Daydream Warrior,"Aozora Jumping Heart, Believe again, HAPPY PARTY TRAIN, MIRACLE WAVE, MY Mai?TONIGHT, WONDERFUL STORIES",Kanan Matsuura (Suwa Nanaka),"CHASE!, Doki Pipo ? Emotion, Starlight",Karin Asaka (VA Miyu Kubota)
"Kitto Seishun ga Kikoeru, START:DASH!!","Snow halation, Yume no Tobira","Angelic Angel, Hello, Hoshi o Kazoete","Arashi no Naka no Koi dakara, Kaguya no Shiro de Odoritai, LONELIEST BABY, Mermaid festa vol.1, Paradise Live, WILD STARS","Love Novels, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love, Shunjou Romantic","Sweet&sweet holiday, UNBALANCED LOVE","Anemone heart, Listen to my heart!!, Soldier game","Ai wa Taiyou Ja Nai?, Nawatobi, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana",Shocking Party,LONELIEST BABY,"Snow halation, START:DASH!!, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Daisuki dattara Daijoubu!, Mijuku DREAMER","MY Mai?TONIGHT, WATER BLUE NEW WORLD",Hop? Stop? Nonstop!,"HAPPY PARTY TRAIN, Kimi no Hitomi o Meguru Bouken, SKY JOURNEY, Sunshine Pikkapika Ondo, Thrilling?One Way","Guilty Eyes Fever, Strawberry Trapper","GALAXY HidE and SeeK, Tokimeki Bunruigaku",Yozora wa Nandemo Shitteru no?,"Hajimari Road, Natsu no Owari no Amaoto ga","Oyasuminasan!, WHITE FIRST LOVE",SELF CONTROL!!,SKY JOURNEY,"Daisuki dattara Daijoubu!, HAPPY PARTY TRAIN, Mijuku DREAMER, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),"CHASE!, Nemureru Mori ni Ikitai na",Kanata Konoe (VA Akari Kito)
"Bokura no LIVE Kimi to no LIFE, Kitto Seishun ga Kikoeru","Love wing bell, Snow halation","SUNNY DAY SONG, ??HEARTBEAT","Arashi no Naka no Koi dakara, Baby maybe Koi no Button, LONELIEST BABY, Natsuiro Egao de 1,2,Jump!, Paradise Live, WILD STARS","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love",Sweet&sweet holiday,"After school NAVIGATORS, Beat in Angel, Zurui yo Magnetic today","Daring!!, Junai Lens, Koi no Signal Rin rin rin!, Nawatobi, Niko puri?Joshi dou, Spicaterrible",Shocking Party,"Natsuiro Egao de 1,2,Jump!","Kitto Seishun ga Kikoeru, Korekara no Someday, No brand girls, Snow halation, START:DASH!!, ??HEARTBEAT",Honoka Kousaka (VA Emi Nitta),"Kimeta yo Hand in Hand, MIRAI TICKET","MIRACLE WAVE, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Kimi no Hitomi o Meguru Bouken, Landing action Yeah!!, SKY JOURNEY, Step! ZERO to ONE, Thrilling?One Way","Guilty Eyes Fever, Strawberry Trapper","LONELY TUNING, Tokimeki Bunruigaku","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Waku-Waku-Week!, Yosoku Fukanou Driving!","Oyasuminasan!, WHITE FIRST LOVE",DROPOUT!?,WATER BLUE NEW WORLD,"Aozora Jumping Heart, Koi ni Naritai AQUARIUM, MIRACLE WAVE, MIRAI TICKET, WATER BLUE NEW WORLD, WONDERFUL STORIES",Kanan Matsuura (Suwa Nanaka),"CHASE!, Meccha Going!!, TOKIMEKI Runners",Setsuna Yuki (VA Tomori Kusunoki)
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","KiRa-KiRa Sensation!, Snow halation","Angelic Angel, ??HEARTBEAT","Kaguya no Shiro de Odoritai, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!, SENTIMENTAL StepS, Super LOVE=Super LIVE!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Kimi no Kuse ni!, Onaji Hoshi ga Mitai","CheerDay CheerGirl!, NO EXIT ORION, Pure girls project","Anemone heart, Mermaid festa vol.2 ~Passionate~, Soldier game","Blueberry?Train, Daring!!, Kodoku na Heaven, Kururin MIRACLE, Niko puri?Joshi dou, Yume?ONCE AGAIN",Private Wars,PSYCHIC FIRE,"Angelic Angel, Snow halation, START:DASH!!",Nico Yazawa (VA Tokui Sora),"Aozora Jumping Heart, Mijuku DREAMER","MIRACLE WAVE, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Over The Next Rainbow","Daydream Warrior, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, SKY JOURNEY, Step! ZERO to ONE","Guilty Night, Guilty Kiss!, Strawberry Trapper","INNOCENT BIRD, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Marine Border Parasol, Waku-Waku-Week!","RED GEM WINK, WHITE FIRST LOVE",Believe again,HAPPY PARTY TRAIN,"Aozora Jumping Heart, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Mijuku DREAMER, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Dia Kurosawa (VA Komiya Arisa),"CHASE!, Meccha Going!!, Starlight",Rina Tennoji (VA Chiemi Tanaka)
"No brand girls, START:DASH!!","Snow halation, Yume no Tobira","Hello, Hoshi o Kazoete, SUNNY DAY SONG","Super LOVE=Super LIVE!, Takaramonozu","Cutie Panther, PSYCHIC FIRE",Shiranai Love*Oshiete Love,"NO EXIT ORION, Puwa Puwa-O!","After school NAVIGATORS, Garasu no Hanazono","Junai Lens, Niko puri?Joshi dou",Private Wars,No brand girls,START:DASH!!,Rin Hoshizora (VA Riho Iida),"Kimeta yo Hand in Hand, Mijuku DREAMER","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!","Step! ZERO to ONE, Thank you, FRIENDS!!","Guilty Eyes Fever, Strawberry Trapper",GALAXY HidE and SeeK,"Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","Jimo Ai ? Mantan ? Summer Life, Manatsu wa Dare no Mono?",New winding road,SELF CONTROL!!,WATER BLUE NEW WORLD,"MY Mai?TONIGHT, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Meccha Going!!, Yume e no Ippo",Setsuna Yuki (VA Tomori Kusunoki)
START:DASH!!,Donna Toki mo Zutto,Bokutachi wa Hitotsu no Hikari,"Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LONELIEST BABY","Fuyu ga Kureta Yokan, PSYCHIC FIRE","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION, UNBALANCED LOVE","Anemone heart, Beat in Angel, Storm in Lover","Arifureta Kanashimi no Hate, Daring!!, Mahoutsukai Hajimemashita!, Mou Hitori Ja Nai yo, Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,Onaji Hoshi ga Mitai,Bokutachi wa Hitotsu no Hikari,Eli Ayase (VA Yoshino Nanjo),Yume Kataru yori Yume Utaou,MY Mai?TONIGHT,Over The Next Rainbow,"Daydream Warrior, Mattete Ai no Uta, SKY JOURNEY, Thrilling?One Way",Kowareyasuki,"GALAXY HidE and SeeK, Tokimeki Bunruigaku",Yozora wa Nandemo Shitteru no?,"Manatsu wa Dare no Mono?, Natsu no Owari no Amaoto ga","In this unstable world, WHITE FIRST LOVE",Believe again,Kowareyasuki,Yume de Yozora o Terashitai,Hanamaru Kunikida (Va Takatsuki Kanako),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, START:DASH!!","Snow halation, Sore wa Bokutachi no Kiseki","Hello, Hoshi o Kazoete, SUNNY DAY SONG","LONELIEST BABY, Mermaid festa vol.1, MOMENT RING, Shangri-La Shower, Soshite Saigo no Page ni wa, Wonderful Rush","Cutie Panther, PSYCHIC FIRE, Silent tonight","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Eien Friends, Love marginal, Sweet&sweet holiday","Beat in Angel, Soldier game","Daring!!, Niko puri?Joshi dou",Shocking Party,SUNNY DAY SONG,"Angelic Angel, Hello, Hoshi o Kazoete, Snow halation, START:DASH!!, SUNNY DAY SONG, Wonderful Rush",Maki Nishikino (VA Pile),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","Kimi no Kokoro wa Kagayaiteru kai?, Yuuki wa doko ni? Kimi no Mune ni!","Next SPARKLING!!, Tousou Meisou Mobius Loop","HAPPY PARTY TRAIN, Jump up HIGH!!, Shoujo Ijou no Koi ga Shitai, Thank you, FRIENDS!!, Thrilling?One Way","Guilty!? Farewell party, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Kaigandoori de Matteru yo, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Hajimari Road","One More Sunshine Story, Sakana ka Nanda ka?",Believe again,Thrilling?One Way,"HAPPY PARTY TRAIN, Mijuku DREAMER, Tousou Meisou Mobius Loop, WONDERFUL STORIES, Yuuki wa doko ni? Kimi no Mune ni!",Yoshiko Tsushima (Va Kobayashi Aika),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
